,Schema-network-Schema-attn,Schema-network-Control-attn,Control-network-Schema-attn,Control-network-Control-attn
0,70.39473684210526,55.92105263157894,53.28947368421052,46.05263157894737
1,89.4736842105263,57.23684210526314,80.26315789473684,46.05263157894737
2,86.84210526315788,53.28947368421052,69.73684210526314,47.36842105263158
3,79.60526315789473,63.815789473684205,63.1578947368421,53.28947368421052
4,77.63157894736842,61.84210526315789,91.44736842105262,56.57894736842104
5,96.05263157894733,54.60526315789473,77.63157894736841,61.18421052631579
6,72.36842105263158,50.6578947368421,59.86842105263157,48.02631578947368
7,90.13157894736838,49.3421052631579,76.9736842105263,60.526315789473685
8,73.02631578947367,55.263157894736835,83.55263157894734,54.60526315789473
9,63.815789473684205,50.6578947368421,51.315789473684205,59.210526315789465
10,92.76315789473682,74.3421052631579,75.00000000000001,49.999999999999986
11,92.76315789473682,46.05263157894737,79.60526315789474,51.31578947368421
12,51.315789473684205,55.26315789473685,61.84210526315789,55.92105263157894
13,86.84210526315788,51.315789473684205,82.89473684210526,61.8421052631579
14,74.34210526315789,48.68421052631577,68.42105263157895,61.8421052631579
15,78.94736842105263,51.973684210526315,50.65789473684208,55.92105263157894
16,88.15789473684208,60.52631578947369,72.36842105263159,54.60526315789473
17,83.55263157894734,55.263157894736835,63.15789473684211,55.92105263157894
18,73.02631578947367,53.94736842105262,53.289473684210506,51.97368421052631
19,94.73684210526312,48.684210526315795,81.57894736842104,48.02631578947367
20,88.1578947368421,46.052631578947356,69.73684210526314,43.42105263157894
21,88.15789473684208,56.57894736842104,57.89473684210525,42.76315789473684
22,93.42105263157892,61.18421052631579,86.18421052631575,66.44736842105263
23,86.18421052631578,63.815789473684205,76.3157894736842,49.99999999999999
24,60.52631578947369,49.34210526315789,57.236842105263165,46.71052631578947
25,94.07894736842101,48.68421052631579,92.76315789473682,49.34210526315789
26,57.23684210526315,49.342105263157876,70.39473684210526,46.05263157894737
