,Schema,Control
0,90.48913043478271,92.5271739130436
1,86.00543478260875,85.05434782608702
2,86.54891304347831,84.23913043478267
3,86.95652173913052,91.57608695652183
4,84.37500000000003,82.6086956521739
5,89.53804347826096,85.32608695652176
6,90.21739130434791,89.94565217391315
7,81.929347826087,85.46195652173918
8,82.6086956521739,86.54891304347831
9,91.03260869565227,90.35326086956532
10,83.1521739130435,84.23913043478267
11,84.37500000000006,86.8206521739131
12,89.53804347826097,91.98369565217402
13,83.01630434782612,76.63043478260867
14,86.14130434782614,87.77173913043482
15,88.99456521739137,91.71195652173924
16,86.4130434782609,86.54891304347834
17,82.47282608695656,85.46195652173917
18,92.2554347826088,91.71195652173924
19,85.3260869565218,80.57065217391306
20,86.27717391304355,86.41304347826092
21,90.35326086956532,91.16847826086966
22,82.88043478260873,83.01630434782612
23,86.54891304347834,87.0923913043479
24,88.72282608695659,92.52717391304358
25,82.06521739130439,78.94021739130436
26,85.59782608695657,86.9565217391305
