,Schema,Control
0,66.0326086956522,66.03260869565219
1,66.84782608695649,66.5760869565217
2,74.59239130434781,73.50543478260866
3,65.08152173913041,65.8967391304348
4,68.88586956521738,66.5760869565217
5,75.81521739130436,77.44565217391307
6,65.0815217391304,64.94565217391303
7,64.94565217391303,66.16847826086956
8,71.87499999999997,78.53260869565219
9,66.98369565217388,66.03260869565219
10,66.84782608695649,66.98369565217386
11,69.29347826086956,77.44565217391303
12,63.722826086956516,64.53804347826086
13,67.39130434782606,65.4891304347826
14,75.27173913043477,76.3586956521739
15,67.66304347826085,67.25543478260867
16,65.4891304347826,66.44021739130432
17,73.09782608695653,79.61956521739131
18,69.29347826086956,68.20652173913044
19,66.16847826086952,66.57608695652172
20,74.32065217391303,74.32065217391307
21,66.5760869565217,66.03260869565217
22,68.88586956521733,60.32608695652172
23,70.1086956521739,79.2119565217391
24,64.2663043478261,65.62499999999999
25,66.03260869565217,65.35326086956519
26,71.05978260869558,75.54347826086952
